Mode,Expected Time,Actual Time,Correct Answers,Next Mode
2,1000,1765,4,1
1,750,1428,1,0
2,1000,1205,1,1
0,300,488,3,0
2,1000,746,0,1
1,750,132,0,0
0,300,368,5,0
2,1000,1813,1,1
1,750,449,4,2
2,1000,1558,1,1
2,1000,745,1,1
1,750,1352,2,0
2,1000,1179,5,2
2,1000,927,4,2
2,1000,153,4,2
2,1000,56,3,1
2,1000,828,4,2
2,1000,1207,3,1
1,750,1310,1,0
2,1000,1130,4,2
1,750,685,2,0
0,300,308,0,0
1,750,1280,4,0
2,1000,900,1,1
2,1000,506,0,1
1,750,801,3,0
2,1000,75,5,2
2,1000,585,3,1
2,1000,1718,2,1
1,750,98,4,2
1,750,1049,2,0
2,1000,305,1,1
2,1000,1562,5,1
0,300,270,1,0
2,1000,495,4,2
1,750,599,1,0
2,1000,91,5,2
1,750,1025,2,0
2,1000,1079,2,1
2,1000,367,4,2
2,1000,488,0,1
1,750,1052,3,0
0,300,328,1,0
1,750,1314,5,0
1,750,865,0,0
2,1000,900,5,2
1,750,612,5,2
0,300,78,5,1
2,1000,1179,4,2
2,1000,1130,2,1
2,1000,649,5,2
0,300,497,3,0
1,750,1009,0,0
2,1000,1853,2,1
2,1000,17,3,1
1,750,1443,4,0
1,750,163,3,0
2,1000,407,0,1
0,300,311,3,0
2,1000,193,3,1
1,750,788,3,0
1,750,858,3,0
2,1000,1898,4,1
2,1000,1722,3,1
1,750,280,1,0
0,300,148,0,0
1,750,489,3,0
2,1000,1878,2,1
0,300,187,0,0
2,1000,1192,3,1
2,1000,395,0,1
2,1000,1728,0,1
1,750,1037,2,0
1,750,376,1,0
1,750,876,4,1
2,1000,1073,0,1
2,1000,309,1,1
2,1000,1769,4,1
1,750,1078,0,0
1,750,1043,4,1
1,750,1279,3,0
1,750,150,5,2
0,300,147,3,0
0,300,530,5,0
1,750,1364,2,0
0,300,545,1,0
2,1000,1450,5,2
1,750,1136,4,0
0,300,366,0,0
2,1000,551,5,2
1,750,830,1,0
0,300,71,0,0
1,750,330,3,0
1,750,1484,3,0
2,1000,401,0,1
1,750,1055,5,1
0,300,8,0,0
2,1000,358,4,2
2,1000,1071,5,2
1,750,787,0,0
0,300,123,3,0
2,1000,66,3,1
2,1000,1967,5,1
2,1000,287,1,1
2,1000,1770,0,1
0,300,568,0,0
1,750,569,4,2
0,300,323,3,0
1,750,1010,2,0
2,1000,1891,3,1
2,1000,763,5,2
2,1000,487,2,1
2,1000,1256,1,1
2,1000,37,2,1
0,300,328,3,0
2,1000,899,1,1
2,1000,114,3,1
2,1000,1302,5,2
1,750,309,0,0
2,1000,954,3,1
1,750,405,0,0
2,1000,157,0,1
1,750,1077,1,0
2,1000,693,3,1
2,1000,688,2,1
1,750,657,1,0
2,1000,1736,2,1
0,300,415,0,0
2,1000,540,3,1
1,750,86,1,0
2,1000,1260,0,1
2,1000,884,3,1
0,300,219,2,0
0,300,494,3,0
1,750,1219,3,0
1,750,1349,3,0
2,1000,221,5,2
2,1000,459,1,1
1,750,926,3,0
2,1000,1159,1,1
1,750,1185,0,0
0,300,262,4,1
1,750,376,3,0
2,1000,1184,5,2
2,1000,1970,3,1
1,750,1426,3,0
1,750,821,5,1
2,1000,1251,4,2
2,1000,766,5,2
1,750,88,4,2
2,1000,941,3,1
1,750,357,0,0
2,1000,431,1,1
1,750,671,4,2
1,750,1367,1,0
1,750,1291,5,0
1,750,663,5,2
0,300,306,1,0
2,1000,1989,3,1
0,300,47,2,0
1,750,665,5,2
2,1000,1478,2,1
1,750,143,2,0
2,1000,1383,2,1
2,1000,393,2,1
2,1000,1537,3,1
2,1000,1421,5,2
2,1000,1890,1,1
0,300,424,0,0
1,750,1160,4,0
1,750,786,1,0
1,750,330,5,2
1,750,557,1,0
0,300,409,3,0
2,1000,1643,5,1
1,750,274,1,0
2,1000,1436,4,2
2,1000,1174,5,2
2,1000,1278,0,1
0,300,379,4,0
2,1000,1303,3,1
2,1000,1819,1,1
2,1000,1469,2,1
2,1000,540,4,2
2,1000,1119,1,1
2,1000,393,0,1
1,750,1411,2,0
0,300,68,1,0
2,1000,515,5,2
0,300,471,0,0
2,1000,1280,2,1
2,1000,37,1,1
1,750,1185,5,0
0,300,17,2,0
2,1000,1251,3,1
1,750,146,3,0
1,750,284,2,0
2,1000,1845,5,1
2,1000,1553,2,1
0,300,409,5,0
2,1000,398,3,1
2,1000,1806,0,1
1,750,1309,5,0
2,1000,1781,2,1
1,750,841,3,0
1,750,1186,3,0
2,1000,693,1,1
2,1000,833,3,1
2,1000,1516,5,1
1,750,638,0,0
2,1000,1388,0,1
2,1000,926,0,1
0,300,148,5,1
2,1000,1898,1,1
1,750,248,1,0
2,1000,589,1,1
1,750,727,0,0
2,1000,1762,0,1
1,750,819,4,1
1,750,626,3,0
2,1000,1307,5,2
2,1000,1300,3,1
2,1000,884,4,2
2,1000,772,4,2
2,1000,1678,3,1
1,750,615,2,0
1,750,1073,5,1
2,1000,761,0,1
2,1000,1558,3,1
0,300,477,5,0
1,750,792,2,0
2,1000,1182,4,2
2,1000,1250,1,1
1,750,725,3,0
2,1000,1727,5,1
2,1000,876,3,1
1,750,360,0,0
2,1000,17,4,2
2,1000,1890,2,1
1,750,1292,1,0
1,750,225,1,0
0,300,126,1,0
1,750,269,1,0
2,1000,1201,4,2
0,300,258,3,0
1,750,1137,4,0
2,1000,509,1,1
2,1000,951,0,1
2,1000,47,5,2
0,300,461,5,0
1,750,977,4,1
2,1000,972,2,1
2,1000,1486,4,2
2,1000,1716,0,1
2,1000,1189,5,2
2,1000,69,5,2
2,1000,772,1,1
1,750,52,2,0
1,750,450,5,2
1,750,921,0,0
0,300,328,0,0
1,750,937,2,0
0,300,592,2,0
2,1000,911,1,1
1,750,290,5,2
2,1000,932,2,1
0,300,550,0,0
2,1000,1748,3,1
1,750,1097,4,1
2,1000,858,5,2
2,1000,390,1,1
1,750,333,0,0
0,300,366,2,0
1,750,818,2,0
2,1000,1360,1,1
2,1000,671,4,2
1,750,1358,4,0
2,1000,1296,0,1
1,750,642,2,0
1,750,574,0,0
2,1000,1141,5,2
0,300,368,0,0
2,1000,1537,1,1
1,750,838,5,1
1,750,1118,1,0
2,1000,151,3,1
0,300,195,3,0
1,750,712,2,0
1,750,48,3,0
2,1000,579,4,2
2,1000,1401,0,1
0,300,187,4,1
2,1000,1838,3,1
0,300,496,4,0
2,1000,753,0,1
2,1000,924,3,1
2,1000,119,0,1
1,750,257,5,2
2,1000,1802,4,1
1,750,1124,4,1
0,300,117,5,1
0,300,30,2,0
2,1000,1194,2,1
2,1000,1109,2,1
2,1000,1894,3,1
2,1000,1683,0,1
2,1000,161,5,2
0,300,332,5,0
2,1000,1465,4,2
2,1000,1438,2,1
1,750,488,2,0
2,1000,677,4,2
1,750,1050,0,0
2,1000,882,0,1
1,750,222,5,2
1,750,86,4,2
1,750,1187,4,0
2,1000,1561,5,1
2,1000,27,0,1
2,1000,1703,0,1
2,1000,1433,3,1
2,1000,1233,5,2
1,750,1170,4,0
1,750,292,5,2
2,1000,1374,1,1
1,750,815,3,0
2,1000,1080,0,1
1,750,1131,0,0
1,750,1169,0,0
2,1000,1236,2,1
2,1000,460,1,1
1,750,353,1,0
1,750,61,0,0
2,1000,1112,4,2
1,750,834,2,0
2,1000,785,2,1
2,1000,337,1,1
0,300,487,2,0
2,1000,988,2,1
2,1000,1452,4,2
1,750,346,2,0
1,750,460,2,0
1,750,910,5,1
1,750,259,3,0
1,750,1179,5,0
2,1000,1514,1,1
2,1000,323,2,1
1,750,523,3,0
2,1000,1630,3,1
2,1000,124,1,1
2,1000,490,0,1
1,750,776,1,0
2,1000,1832,0,1
1,750,119,4,2
2,1000,226,0,1
2,1000,473,0,1
1,750,789,0,0
2,1000,1479,5,2
1,750,745,4,2
0,300,598,0,0
0,300,244,3,0
1,750,856,2,0
2,1000,1558,0,1
1,750,232,4,2
2,1000,632,0,1
1,750,1405,0,0
1,750,293,4,2
0,300,443,4,0
1,750,952,0,0
2,1000,1100,0,1
2,1000,942,1,1
2,1000,66,1,1
1,750,1326,4,0
2,1000,1526,5,1
1,750,682,4,2
1,750,542,3,0
2,1000,1086,2,1
2,1000,1834,1,1
2,1000,800,0,1
2,1000,619,1,1
2,1000,1661,3,1
1,750,115,4,2
1,750,343,4,2
2,1000,1715,5,1
1,750,549,4,2
0,300,514,4,0
1,750,594,0,0
2,1000,609,2,1
2,1000,1167,5,2
2,1000,305,0,1
2,1000,55,5,2
2,1000,1489,3,1
1,750,1308,2,0
2,1000,1390,5,2
2,1000,1019,3,1
2,1000,1716,2,1
1,750,619,2,0
0,300,66,5,1
0,300,159,2,0
0,300,179,0,0
1,750,1086,4,1
1,750,125,0,0
2,1000,525,3,1
2,1000,1107,1,1
1,750,265,4,2
1,750,988,4,1
2,1000,1931,2,1
2,1000,1212,2,1
1,750,1099,1,0
2,1000,1281,1,1
1,750,741,5,2
2,1000,162,1,1
1,750,1132,0,0
2,1000,1400,5,2
2,1000,583,1,1
1,750,636,2,0
2,1000,1908,5,1
1,750,288,3,0
1,750,992,5,1
1,750,1046,4,1
1,750,89,2,0
2,1000,787,5,2
0,300,245,2,0
2,1000,1840,0,1
1,750,88,2,0
2,1000,386,1,1
2,1000,138,5,2
2,1000,200,3,1
0,300,12,1,0
2,1000,1383,3,1
2,1000,1922,4,1
2,1000,1597,3,1
1,750,818,1,0
2,1000,735,2,1
0,300,222,5,1
2,1000,980,1,1
0,300,27,1,0
2,1000,548,5,2
2,1000,1203,1,1
2,1000,356,2,1
1,750,826,0,0
2,1000,1563,5,1
2,1000,1508,2,1
2,1000,453,2,1
2,1000,1776,5,1
1,750,573,4,2
2,1000,881,5,2
2,1000,1486,3,1
2,1000,975,1,1
2,1000,931,2,1
1,750,1482,2,0
1,750,893,4,1
1,750,1178,1,0
2,1000,1897,0,1
1,750,1137,2,0
1,750,743,1,0
1,750,314,2,0
1,750,556,5,2
1,750,879,4,1
2,1000,1382,4,2
2,1000,899,2,1
2,1000,700,0,1
2,1000,1676,1,1
0,300,301,5,0
1,750,585,1,0
2,1000,700,3,1
2,1000,879,5,2
1,750,709,4,2
2,1000,1066,5,2
2,1000,258,1,1
2,1000,1282,5,2
2,1000,16,2,1
0,300,52,0,0
1,750,1356,4,0
0,300,345,5,0
2,1000,1626,0,1
1,750,629,1,0
2,1000,452,2,1
2,1000,1986,1,1
1,750,482,3,0
1,750,925,0,0
2,1000,569,3,1
2,1000,1975,1,1
1,750,656,0,0
2,1000,72,3,1
1,750,1402,1,0
2,1000,296,0,1
1,750,1290,2,0
2,1000,365,4,2
2,1000,483,4,2
1,750,490,3,0
2,1000,12,0,1
1,750,418,3,0
2,1000,1419,0,1
1,750,846,5,1
2,1000,644,0,1
1,750,808,2,0
1,750,1251,3,0
1,750,1056,0,0
1,750,668,0,0
0,300,71,3,0
1,750,1486,0,0
2,1000,1918,2,1
2,1000,1525,1,1
1,750,732,4,2
0,300,541,1,0
2,1000,404,0,1
1,750,973,0,0
1,750,999,2,0
2,1000,902,1,1
2,1000,1665,0,1
1,750,238,4,2
2,1000,1839,2,1
1,750,421,0,0
1,750,568,2,0
2,1000,22,4,2
2,1000,842,0,1
2,1000,454,1,1
1,750,1488,3,0
1,750,23,0,0
1,750,1100,1,0
1,750,995,3,0
2,1000,1617,5,1
2,1000,1050,1,1
2,1000,1757,1,1
0,300,7,4,1
1,750,250,1,0
2,1000,295,3,1
2,1000,654,4,2
2,1000,1708,5,1
2,1000,755,0,1
1,750,219,4,2
1,750,591,2,0
1,750,28,5,2
2,1000,1901,3,1
